Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/BgStory16.jpg																								
2	2		401							1	208																							
3	3		201							1	1021001																							
4	4		301			DialogEnable				1	Lucia	How's the commandant doing?	1																					
5	5		201							1	500004																							
6	6		301							1	Asimov	Doing well, even finished two special meals in a row. But the virus inside is in an abnormal state that has never been observed.	1																					
7	7		201							1	1021001																							
8	8		301							1	Lucia	Commandant...	1																					
9	9		201							1	500004																							
10	10		301							1	Asimov	Don't worry, the virus is still being suppressed by the immune serum, so it won't affect your dear commandant's health.	1																					
11	11		301								Asimov	But the virus keeps releasing signal units, forming a...	1																					
12	12		202							1					1																			
13	13		301									Asimov glances at Lucia while speaking, but she seems to be too worried for the commandant to notice him.																						
14	14		201							1	500004																							
15	15		301							1	Asimov	After the channel is connected by Constructs, the Ascendants would simulate the connection of consciousness between Constructs and the commandant.	1																					
16	16		201							1	1031001																							
17	17		301							1	Liv	Is there no way to cut off the connection?	1																					
18	18		201							1	500004																							
19	19		301							1	Asimov	Well, I'd hate to admit that, but we don't have such technology right now.	1																					
20	20		201							1	1011001																							
21	21		301							1	Lee	Now that the security is ensured, what are you going to do with our commandant?	1																					
22	22		301								Lee	To become your guinea pig for research?	1																					
23	23		201							1	1021001	4	-400																					
24	24		201							2	1031001		400																					
25	25		301							1	Lucia and Liv	!	1	2																				
26	26		202							1	2				1																			
27	27		201							1	500004																							
28	28		301							1	Asimov	Why are you soldiers always like this?	1																					
29	29		301								Asimov	Put away all thoughts of fighting. We've got enough data samples, so we don't need to do any human experiments.	1																					
30	30		301								Asimov	Secondly, to ensure the safety of your commandant and let us be able to respond promptly if there is a danger in this channel.	1																					
31	31		301								Asimov	We got to take him in temporarily. This has been communicated to your commandant.	1																					
32	32		201							1	1011001		-600																					
33	33		201							2	1021001																							
34	34		201							3	1031001		600																					
35	35		301							1	Lucia, Lee, and Liv	...	1	2	3																			
36	36		202							1	2	3			1																			
37	37		201							1	500004																							
38	38		301							1	Asimov	Alright, I got to keep working on finding the solution, get out of my way.	1																					
39	39		202							1					1																			
40	40		301									Asimov makes his way through the Gray Raven members, then stops at the corner behind them after walking a few steps.																						
41	41		201							1	500004																							
42	42		301				AniZhuanchangBegin			1	Asimov	Although it's called isolation, I didn't say that you can't visit him. Do I have to just say it?	1																					
43	43		202				DialogDisable			1					1																			
44	44		302			AniZhuanchangEnd					That's all I have to report.	45																						
45	45		302								I'm counting on you guys.	46																						
46	46		201							1	1021001																							
47	47		301			DialogEnable				1	Lucia	Yes, Commandant.	1																					
48	48		201							1	1031001																							
49	49		301							1	Liv	You must take care of yourself, Commandant.	1																					
50	50		302								Go, it's time.	51																						
51	51		202							1					1																			
52	52		301									They leave, and the pale isolation room becomes silent again, the ticking sound of electronic devices comes from all sides of the room.																						
53	53		301				AniZhuanchangBegin					Tick-tock—Tick-tock. The familiar sounds come to mind. Someone is approaching, and someone is leaving.																						
54	54		401				DialogDisable			1	201																							
55	55		302			AniZhuanchangEnd					Those were...	56																						
56	56		301			DialogEnable						Opening your eyes, you are still surrounded by white walls and instruments, with no one else here.																						
57	57		301									An electronic clock above the door of the isolation room shows the present time—1:28 a.m.																						
58	58		301								System	Connection signal detected, Construct is connected successfully.																						
59	59		201							1	500100																							
60	60		501							Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab		1																						
61	61		301							1	α	...	1																					
62	62		302								What are you planning?	63																						
63	63		204							1	8																							
64	64		301								α	Gotta do my job.	1																					
65	65		302								Are you Ascendants planning something again?	66																						
66	66		301								α	No.	1																					
67	67		302								Your connection is under our control.	68																						
68	68		301								α	As expected, and it won't affect me.	1																					
69	69		204							1	13																							
70	70		301								α	I'll often send you a link like this in the future.	1																					
71	71		302								Looks like I don't I have the right to refuse.	72																						
72	72		301								α	Maybe you do, maybe you don't. Who knows.	1																					
73	73		302								...	74																						
74	74		301		1		AniZhuanchangBegin				α	Well, then. I'll see you later.	1																					
